,Grade,Buyer_Name,Qty,Average,year,month,sale_date,purchased
57,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,4,2025-04-01,0
58,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,5,2025-05-01,0
59,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,6,2025-06-01,0
60,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,7,2025-07-01,0
61,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,8,2025-08-01,0
62,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,9,2025-09-01,0
63,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,10,2025-10-01,0
64,INNOVATIVE,A.M.ABEYKOON,1.0,10000.0,2025,11,2025-11-01,1
65,INNOVATIVE,A.M.ABEYKOON,0.0,0.0,2025,12,2025-12-01,0
66,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,1,2025-01-01,0
67,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,2,2025-02-01,0
68,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,3,2025-03-01,0
69,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,4,2025-04-01,0
70,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,5,2025-05-01,0
71,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,6,2025-06-01,0
72,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,7,2025-07-01,0
73,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,8,2025-08-01,0
74,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,9,2025-09-01,0
75,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2025,10,2025-10-01,0
76,SILVERTIPS,A.M.ABEYKOON,10.0,18950.0,2025,11,2025-11-01,1
77,SILVERTIPS,A.M.ABEYKOON,30.0,18833.33,2025,12,2025-12-01,1
78,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2026,1,2026-01-01,0
79,SILVERTIPS,A.M.ABEYKOON,6.0,21000.0,2026,2,2026-02-01,1
80,SILVERTIPS,A.M.ABEYKOON,1.0,20000.0,2026,3,2026-03-01,1
81,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2026,4,2026-04-01,0
82,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2026,5,2026-05-01,0
83,SILVERTIPS,A.M.ABEYKOON,0.0,0.0,2026,6,2026-06-01,0
84,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,1,2025-01-01,0
85,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,2,2025-02-01,0
86,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,3,2025-03-01,0
87,SILVERTIPS,A.M.M. SUBAIR,0.0,0.0,2025,4,2025-04-01,0
